Films	How many films have Al Pacino and Robert De Niro starred in together?	10	6	2	4	4	NoImage
Films	The Imitation Game is a biopic based on which twentieth century figure?	Albert Einstein	Nikola Tesla	Alan Turing	Marie Curie	Alan Turing	NoImage
Films	What does Tom Hanks compare life to in Forest Gump?	A book	A box of chocolates	A sunny day	A bouquet of flowers	A box of chocolates	NoImage
Science	The theory of relativity was introduced in physics by this man.	Albert Einstein	Galileo Galilei	Archimedes	Isaac Newton	Albert Einstein	NoImage
Science	What part of the eye determines what the color of it is ?	Iris	Lens	Cornea	Pupil	Iris	NoImage
Science	Which of these is a metal on the periodic table?	Neon	Radon	Zinc	Krypton	Zinc	NoImage
Science	What does a spectrometer help measure?	Light	Voltage	Liquid Density	Fermentation	Light	NoImage
Science	How many moons does Mars have in all?	0	5	8	2	2	NoImage
Science	What liquid did thermometers have in them, because of its sensitivity to temperature?	Bromine	Barium	Gallium	Mercury	Mercury	NoImage
Science	Which planet has the Great Red Spot?	Jupiter	Mercury	Mars	Venus	Jupiter	NoImage
Science	What is NOT considered one of the Galilean Moons of Jupiter?	Io	Phobos	Ganymede	Europa	Phobos	NoImage
Science	How many different blood types can be found in the human body?	4	3	1	2	4	NoImage
Science	Ascorbic acid is more commonly referred to as what?	Gluten	Lactose	Vitamin C	Aspirin	Vitamin C	NoImage
Science	What is the largest organ in the human bofy?	Heart	Large Intestine	Lungs	Skin	Skin	NoImage
Science	Approcimately how many Earths could fit inside the sun?	356000	1.3 Million	864000	2 Million	1.3 Million	NoImage
Science	What type of brain disorder causes difficulty in speech and movement?	Arthritis	Parkinson's Disease	Diabetes	Pneumonia	Parkinson's Disease	NoImage
Science	Which organ could grow back if you donated part of it?	Liver	Stomach	Pancreas	Intestine	Liver	NoImage
Science	What disease is created when cells in the body begin to divide uncontrollably?	Cancer	Influenza	Alzheimer's	Diabetes	Cancer	NoImage
Science	What is the closest star to the Earth, beside the Sun?	Rigel	Proxima Centauri	Canopus	Arctutus	Proxima Centauri	NoImage
Science	Who developed the smallpox vaccine?	John Adams	Edward Jenner	Louis Pasteur	Alexander Fleming	Edward Jenner	NoImage
Science	What is the only metal tha can be in liquid form at room temperature?	iron	Copper	Magnesium	Mercury	Mercury	NoImage
Science	"Fe" is the chemical symbol for which common element?	Copper	Iron	Oxygen	Hydrogen	Iron	NoImage
Science	Which chemical element is historically known as quicksilver?	Platinum	Mercury	Silver	Gold	Mercury	NoImage
Science	Which vaccine gets its name from the Latin for which farm animal?	Sheep	Pig	Cow	Goat	Cow	NoImage
Science	Which planet has the coldest atmosphere in the solar system?	Jupiter	Mercury	Uranus	Neptune	Uranus	NoImage
Science	Which part of the body is affected by a Pott's fracture?	Wrist	Knee	Ankle	Arm	Ankle	NoImage
Science	During which century was the telescope created?	16th Century	19th Century	17th Century	18th Century	17th Century	NoImage
Science	Which planet is covered in thick poisonous clouds, trapping all the heat it absorbs from the Sun?	Mercury	Earth	Saturn	Venus	Venus	NoImage
Science	Galileo discovered the first four moons aroun which planet?	Mercury	Mars	Jupiter	Venus	Jupiter	NoImage
Science	What is the symbol for sodium?	Na	So	Cl	S	Na	NoImage
Science	What part of the cerebrum helps with vision?	Frontal Lobe	Temporal lobe	Parietal Lobe	Occipital Lobe	Occipital Lobe	NoImage
Technology	What does HTTP stand for?	HyperText Transfer Protocol	Highly Transposed Text Protocol	Helios Transport Transcontinental Productions	Hi-Tao Tsushimi Products	HyperText Transfer Protocol	NoImage
Geography	What is the capital of Lithuania?	Vilnius	Minsk	Krakow	Riga	Vilnius	NoImage
Geography	With which country does France NOT share a land border with?	Germany	Netherlands	Austria	Luxembourg	Austria	NoImage
Sports	What country won the very first FIFA World Cup in 1930?	Paraguay	Brazil	Germany	Uruguay	Uruguay	NoImage
Music	When was the band System of a Down formed?	1988	1987	1990	1992	1988	NoImage
VideoGames	Which of the following was the Game of the Year in 2018?	God of War	The Outer Worlds	Red Dead Redemption 2	Call of Duty: Black Ops 4	God of War	gameAwards.jpg
Food	Which fruit is in the picture?	Pomegranate	Watermelon	Kiwi	Fig	Pomegranate	pomegranate.jpg
Geography	Find in which country belongs the flag in the picture	Sweden	Norway	Ireland	Netherlands	Sweden	sweden.jpg
